mod,type,dupes,itemId,threadIndex
+398 to Evasion Rating,explicit,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
117% increased Evasion and Energy Shield,explicit,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
+86 to maximum Energy Shield,explicit,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
+34% chance to Suppress Spell Damage,fractured,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
108% increased Global Defences,fractured,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
+23% to Lightning Resistance,crafted,1,2781b0a301eaab3ec282cea2bca3ac5bcbc084c9a51249acc7c656c0b30b8cfd,3167292
8% increased Explicit Defence Modifier magnitudes,enchant,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
Item sells for much more to vendors,implicit,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
+31 to Dexterity,explicit,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
+108 to maximum Energy Shield,explicit,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
106% increased Energy Shield,explicit,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
+1% to maximum Chaos Resistance,explicit,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
18% of Physical Damage from Hits taken as Chaos Damage,explicit,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
Attacks have +1.48% to Critical Strike Chance,explicit,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
+17% to Quality,explicit,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
6% increased Attributes,crafted,1,43003bc5f70af0f59cdcdee05e60eca3e0a72b242881258e00c3499150a1484a,3167292
Item sells for much more to vendors,implicit,1,780cf7087424b37b35190291c78801221038bdbaa69106ac18fc14e89e376e54,3167292
+55 to Intelligence,explicit,1,780cf7087424b37b35190291c78801221038bdbaa69106ac18fc14e89e376e54,3167292
12% increased Intelligence,explicit,1,780cf7087424b37b35190291c78801221038bdbaa69106ac18fc14e89e376e54,3167292
+100 to maximum Energy Shield,explicit,1,780cf7087424b37b35190291c78801221038bdbaa69106ac18fc14e89e376e54,3167292
109% increased Energy Shield,explicit,1,780cf7087424b37b35190291c78801221038bdbaa69106ac18fc14e89e376e54,3167292
You can apply an additional Curse,explicit,1,780cf7087424b37b35190291c78801221038bdbaa69106ac18fc14e89e376e54,3167292
Attacks have +1.48% to Critical Strike Chance,explicit,1,780cf7087424b37b35190291c78801221038bdbaa69106ac18fc14e89e376e54,3167292
Socketed Gems have 30% increased Reservation Efficiency,explicit,1,2a7be8823af59087947497485e533979e87d1f28b6fc88b0aefdbc4c55d29d8a,3167292
12% Chance to Block Spell Damage,explicit,1,2a7be8823af59087947497485e533979e87d1f28b6fc88b0aefdbc4c55d29d8a,3167292
100% increased Fire Damage,explicit,1,2a7be8823af59087947497485e533979e87d1f28b6fc88b0aefdbc4c55d29d8a,3167292
+159 to maximum Life,explicit,1,2a7be8823af59087947497485e533979e87d1f28b6fc88b0aefdbc4c55d29d8a,3167292
+1 to Level of all Fire Spell Skill Gems,explicit,1,2a7be8823af59087947497485e533979e87d1f28b6fc88b0aefdbc4c55d29d8a,3167292
Recover 5% of Life when you Block,explicit,1,2a7be8823af59087947497485e533979e87d1f28b6fc88b0aefdbc4c55d29d8a,3167292
4% increased Damage per 100 Intelligence,implicit,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
25% chance to Intimidate Enemies for 4 seconds on Hit,implicit,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
18% increased Attack Speed,explicit,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
41% increased Energy Shield,explicit,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
16% increased Stun and Block Recovery,explicit,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
50% increased Attack and Cast Speed while Focused,explicit,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
+55 to Intelligence,fractured,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
99% increased Evasion and Energy Shield,fractured,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
+49 to maximum Energy Shield,fractured,1,d62960e1ce0f6bc8bb3ebbe47c0ad524cd467733623bde975eed4dfe6687c517,3167292
Damage Penetrates 10% of Enemy Elemental Resistances if you haven't Killed Recently,enchant,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
29% chance to Avoid Elemental Ailments,implicit,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
6% increased Action Speed,implicit,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
+55 to Intelligence,explicit,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
+45 to maximum Energy Shield,explicit,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
30% increased Movement Speed,explicit,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
35% chance to Avoid Elemental Ailments,explicit,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
13% chance to gain Onslaught for 4 seconds on Kill,explicit,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
+22% chance to Suppress Spell Damage,fractured,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
Adds 1 to 5 Lightning Damage to Attacks per 10 Intelligence,fractured,1,229eb5e00ebb70840b73ee76f19afb0641404c00f83eeed59efe7082dbb12342,3167292
16% increased Attack and Cast Speed if you've Killed Recently,enchant,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
+17% to Chaos Resistance,implicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
+20% chance to Suppress Spell Damage,explicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
30% increased Movement Speed,explicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
100% chance to Avoid being Chilled,explicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
10% chance to gain Onslaught for 4 seconds on Kill,explicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
10% chance to gain Elusive on Critical Strike,explicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
"10% increased Attack, Cast and Movement Speed while you have Onslaught",explicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
25% increased Effect of Tailwind on you,explicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
You have Tailwind if you have dealt a Critical Strike Recently,explicit,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
+70 to maximum Life,crafted,1,497c352ec2a72a4501762df80269a77e4614d67ef13fc4e97ffdf2d5bce0efb7,3167292
18% reduced Mana Cost of Skills if you've been Hit Recently,enchant,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
+53 to Intelligence,explicit,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
+48 to maximum Energy Shield,explicit,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
30% increased Movement Speed,explicit,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
100% chance to Avoid being Chilled,explicit,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
20% increased Cooldown Recovery Rate,explicit,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
25% increased Effect of Tailwind on you,explicit,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
You have Tailwind if you have dealt a Critical Strike Recently,explicit,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
100% chance to Avoid being Frozen,crafted,1,45013017999d7491015535b6c58f41266d3271f837541d1fb1c410f4a2c55057,3167292
Damage Penetrates 10% of Enemy Elemental Resistances if you haven't Killed Recently,enchant,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
23% chance to Avoid Elemental Ailments,implicit,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
6% increased Action Speed,implicit,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
+55 to Strength,explicit,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
+120 to maximum Life,explicit,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
30% increased Movement Speed,explicit,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
34% chance to Avoid Elemental Ailments,explicit,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
13% chance to gain Onslaught for 4 seconds on Kill,explicit,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
+22% chance to Suppress Spell Damage,fractured,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
Adds 2 to 4 Fire Damage to Attacks per 10 Strength,fractured,1,96569543e125ebfb2fb3347228d55ed09bc86379ad5240e60c41e70047cc811a,3167292
Allocates Charisma,enchant,1,709bc33309ae8030adc73d13d1f421b5f4815931703f762b34ef01ecadbb7ff4,3167292
-1 Prefix Modifier allowed,implicit,1,709bc33309ae8030adc73d13d1f421b5f4815931703f762b34ef01ecadbb7ff4,3167292
-2 Suffix Modifiers allowed,implicit,1,709bc33309ae8030adc73d13d1f421b5f4815931703f762b34ef01ecadbb7ff4,3167292
Implicit Modifiers Cannot Be Changed,implicit,1,709bc33309ae8030adc73d13d1f421b5f4815931703f762b34ef01ecadbb7ff4,3167292
100% increased Explicit Modifier magnitudes,implicit,1,709bc33309ae8030adc73d13d1f421b5f4815931703f762b34ef01ecadbb7ff4,3167292
+90% to Global Critical Strike Multiplier,explicit,1,709bc33309ae8030adc73d13d1f421b5f4815931703f762b34ef01ecadbb7ff4,3167292
+2 to Level of all Lightning Skill Gems,explicit,1,709bc33309ae8030adc73d13d1f421b5f4815931703f762b34ef01ecadbb7ff4,3167292
+2 to Level of all Skill Gems,fractured,1,709bc33309ae8030adc73d13d1f421b5f4815931703f762b34ef01ecadbb7ff4,3167292
Allocates Force of Darkness,enchant,1,d560f2145fa2ab7d5d7630aa6740a3244bebf73379c0a8e590f2653666afe949,3167292
-2 Prefix Modifiers allowed,implicit,1,d560f2145fa2ab7d5d7630aa6740a3244bebf73379c0a8e590f2653666afe949,3167292
-1 Suffix Modifier allowed,implicit,1,d560f2145fa2ab7d5d7630aa6740a3244bebf73379c0a8e590f2653666afe949,3167292
Implicit Modifiers Cannot Be Changed,implicit,1,d560f2145fa2ab7d5d7630aa6740a3244bebf73379c0a8e590f2653666afe949,3167292
100% increased Explicit Modifier magnitudes,implicit,1,d560f2145fa2ab7d5d7630aa6740a3244bebf73379c0a8e590f2653666afe949,3167292
26% increased Attributes,explicit,1,d560f2145fa2ab7d5d7630aa6740a3244bebf73379c0a8e590f2653666afe949,3167292
26% increased Strength,explicit,1,d560f2145fa2ab7d5d7630aa6740a3244bebf73379c0a8e590f2653666afe949,3167292
2% increased Damage per 15 Strength,explicit,1,d560f2145fa2ab7d5d7630aa6740a3244bebf73379c0a8e590f2653666afe949,3167292
Allocates Whispers of Doom,enchant,1,73d14d5089e9b9a7a94b42964ebab1cbadac0e3688a88bc216e3630ba58f7641,3167292
-2 Prefix Modifiers allowed,implicit,1,73d14d5089e9b9a7a94b42964ebab1cbadac0e3688a88bc216e3630ba58f7641,3167292
-1 Suffix Modifier allowed,implicit,1,73d14d5089e9b9a7a94b42964ebab1cbadac0e3688a88bc216e3630ba58f7641,3167292
Implicit Modifiers Cannot Be Changed,implicit,1,73d14d5089e9b9a7a94b42964ebab1cbadac0e3688a88bc216e3630ba58f7641,3167292
100% increased Explicit Modifier magnitudes,implicit,1,73d14d5089e9b9a7a94b42964ebab1cbadac0e3688a88bc216e3630ba58f7641,3167292
26% increased Attributes,explicit,1,73d14d5089e9b9a7a94b42964ebab1cbadac0e3688a88bc216e3630ba58f7641,3167292
26% increased Intelligence,explicit,1,73d14d5089e9b9a7a94b42964ebab1cbadac0e3688a88bc216e3630ba58f7641,3167292
2% increased Damage per 15 Intelligence,explicit,1,73d14d5089e9b9a7a94b42964ebab1cbadac0e3688a88bc216e3630ba58f7641,3167292
Adds 12 Passive Skills,enchant,1,152319e8abdedf075acf01210c32cab7b724798bfde03f9bf42e7248ab7a34c6,3167292
2 Added Passive Skills are Jewel Sockets,enchant,1,152319e8abdedf075acf01210c32cab7b724798bfde03f9bf42e7248ab7a34c6,3167292
Added Small Passive Skills grant: 10% increased Spell Damage,enchant,1,152319e8abdedf075acf01210c32cab7b724798bfde03f9bf42e7248ab7a34c6,3167292
15% chance to Avoid being Stunned,implicit,1,152319e8abdedf075acf01210c32cab7b724798bfde03f9bf42e7248ab7a34c6,3167292
Added Small Passive Skills also grant: +4 to All Attributes,explicit,1,152319e8abdedf075acf01210c32cab7b724798bfde03f9bf42e7248ab7a34c6,3167292
Added Small Passive Skills also grant: +8 to Intelligence,explicit,1,152319e8abdedf075acf01210c32cab7b724798bfde03f9bf42e7248ab7a34c6,3167292
Added Small Passive Skills also grant: +12 to Maximum Energy Shield,explicit,1,152319e8abdedf075acf01210c32cab7b724798bfde03f9bf42e7248ab7a34c6,3167292
Added Small Passive Skills have 35% increased Effect,explicit,1,152319e8abdedf075acf01210c32cab7b724798bfde03f9bf42e7248ab7a34c6,3167292
Adds 3 Passive Skills,enchant,1,8a78d0e1c34fd244ceb02236d93a3169b4a42ef09798687733cd91e676673707,3167292
Added Small Passive Skills grant: 6% increased Mana Reservation Efficiency of Skills,enchant,1,8a78d0e1c34fd244ceb02236d93a3169b4a42ef09798687733cd91e676673707,3167292
Added Small Passive Skills also grant: +14 to Intelligence,explicit,1,8a78d0e1c34fd244ceb02236d93a3169b4a42ef09798687733cd91e676673707,3167292
Added Small Passive Skills also grant: +20 to Maximum Energy Shield,explicit,1,8a78d0e1c34fd244ceb02236d93a3169b4a42ef09798687733cd91e676673707,3167292
Added Small Passive Skills have 35% increased Effect,explicit,1,8a78d0e1c34fd244ceb02236d93a3169b4a42ef09798687733cd91e676673707,3167292
Added Small Passive Skills also grant: +6 to All Attributes,fractured,1,8a78d0e1c34fd244ceb02236d93a3169b4a42ef09798687733cd91e676673707,3167292
Adds 3 Passive Skills,enchant,1,e732bad458cfab5b0f9dda6ec8fb497687b132b1149c9d4926918592f433f28c,3167292
Added Small Passive Skills grant: 6% increased Mana Reservation Efficiency of Skills,enchant,1,e732bad458cfab5b0f9dda6ec8fb497687b132b1149c9d4926918592f433f28c,3167292
15% chance to Avoid being Stunned,implicit,1,e732bad458cfab5b0f9dda6ec8fb497687b132b1149c9d4926918592f433f28c,3167292
Added Small Passive Skills also grant: 6% increased Damage,explicit,1,e732bad458cfab5b0f9dda6ec8fb497687b132b1149c9d4926918592f433f28c,3167292
Added Small Passive Skills also grant: +14 to Intelligence,explicit,1,e732bad458cfab5b0f9dda6ec8fb497687b132b1149c9d4926918592f433f28c,3167292
Added Small Passive Skills also grant: +14 to Strength,explicit,1,e732bad458cfab5b0f9dda6ec8fb497687b132b1149c9d4926918592f433f28c,3167292
Added Small Passive Skills have 35% increased Effect,explicit,1,e732bad458cfab5b0f9dda6ec8fb497687b132b1149c9d4926918592f433f28c,3167292
-2 Prefix Modifiers allowed,implicit,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
+1 Suffix Modifier allowed,implicit,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
Implicit Modifiers Cannot Be Changed,implicit,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
50% increased Suffix Modifier magnitudes,implicit,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
+37% to Global Critical Strike Multiplier,explicit,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
+107 to maximum Life,explicit,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
30% increased Quantity of Items found,explicit,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
+24% to all Elemental Resistances,explicit,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
27% increased Global Critical Strike Chance,crafted,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
+39% to Critical Strike Multiplier if you've Shattered an Enemy Recently,crafted,1,c9424626cfa2a68a127b78e5c0bcea7f580075f5c05d92000edf64189309104d,3577496
Tornado Shot fires 2 additional secondary Projectiles,enchant,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
8% of Physical Damage from Hits taken as Fire Damage,implicit,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
28% reduced Mana Cost of Attacks,implicit,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
+95 to Armour,explicit,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
+177 to maximum Life,explicit,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
10% increased Mana Reservation Efficiency of Skills,explicit,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
20% increased Quantity of Items found,fractured,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
10% of Physical Damage from Hits taken as Fire Damage,fractured,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
60% increased Rarity of Items Dropped by Slain Rare or Unique Enemies,fractured,1,619cc53d1a7121abcbbdee9c2c636bcd94e99b1de045818c473226270c1ee63f,3254599
Discipline has 45% increased Mana Reservation Efficiency,enchant,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
12% increased Mana Reservation Efficiency of Skills,implicit,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
Minions have 25% increased maximum Life,implicit,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
+2 to Level of all Minion Skill Gems,explicit,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
10% increased Mana Reservation Efficiency of Skills,explicit,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
132% increased Energy Shield,fractured,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
+73 to maximum Mana,fractured,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
20% increased Quantity of Items found,fractured,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
10% increased Mana Reservation Efficiency of Skills,fractured,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
10% of Physical Damage from Hits taken as Fire Damage,fractured,1,a36b201b2d8f8973fb19dd0370aa233a4e231f7f29e788676d6ce85bc7ec04b1,3254599
40% increased Ethereal Knives Damage,enchant,1,0148d10349019f07fdaf3f681229ee9d5adf86d51f3c2a83387822206c26c792,3254599
12% increased Mana Reservation Efficiency of Skills,implicit,1,0148d10349019f07fdaf3f681229ee9d5adf86d51f3c2a83387822206c26c792,3254599
11% increased Cast Speed,implicit,1,0148d10349019f07fdaf3f681229ee9d5adf86d51f3c2a83387822206c26c792,3254599
+2 to Level of Socketed AoE Gems,explicit,1,0148d10349019f07fdaf3f681229ee9d5adf86d51f3c2a83387822206c26c792,3254599
